año,mes,nombre departamento,código departamento,nombre municipio,código municipio,precio promedio por litro
2013,1,norte de santander,54,cucuta,54001,826.7773673606447
2013,1,norte de santander,54,la esperanza,54385,835.9833412018614
2013,1,norte de santander,54,toledo,54820,763.9923784813719
2013,1,quindio,63,circasia,63190,981.1289973257618
2013,1,quindio,63,filandia,63272,864.5393438058542
2013,1,quindio,63,quimbaya,63594,920.9474382579536
2013,1,quindio,63,salento,63690,901.1406362345634
2013,1,risaralda,66,dosquebradas,66170,892.7131201350464
2013,1,risaralda,66,pereira,66001,890.8812235196858
2013,1,risaralda,66,santa rosa de cabal,66682,914.474986545547
2013,1,santander,68,barrancabermeja,68081,839.8514851485148
2013,1,santander,68,charala,68167,850.6325990237225
2013,1,santander,68,cimitarra,68190,895.3980730223124
2013,1,santander,68,el carmen de chucuri,68235,705.3903804193151
2013,1,santander,68,gambita,68298,736.8367809149933
2013,1,santander,68,lebrija,68406,885.2531256405001
2013,1,santander,68,piedecuesta,68547,958.4465879568896
2013,1,santander,68,puente nacional,68572,678.0257715036113
2013,1,santander,68,rionegro,68615,832.1727825877181
2013,1,santander,68,sabana de torres,68655,827.8749962582692
2013,1,santander,68,san vicente del chucuri,68689,933.4182744812523
2013,1,santander,68,simacota,68745,775.7486631016043
2013,1,santander,68,socorro,68755,806.4712960359853
2013,1,santander,68,suaita,68770,775.6579456115479
2013,1,santander,68,velez,68861,797.7190974493133
2013,1,sucre,70,galeras,70235,845.2961934079135
2013,1,sucre,70,ovejas,70508,861.4133713596227
2013,1,sucre,70,san luis de since,70742,835.2202010531355
2013,1,sucre,70,san marcos,70708,776.0123541523678
2013,1,sucre,70,san onofre,70713,795.888558692422
2013,1,sucre,70,san pedro,70717,829.5713255697087
2013,1,sucre,70,sincelejo,70001,854.5843914000338
2013,1,sucre,70,tolu viejo,70823,1020.8348540145986
2013,1,tolima,73,cajamarca,73124,793.2446973123527
2013,1,tolima,73,ibague,73001,890.1696436694466
2013,1,valle del cauca,76,bugalagrande,76113,882.6842316008649
2013,1,valle del cauca,76,guadalajara de buga,76111,996.0579125508723
2013,1,valle del cauca,76,jamundi,76364,982.4453241322741
2013,1,valle del cauca,76,palmira,76520,945.1325203124755
2013,1,valle del cauca,76,tulua,76834,850.6944501271298
2013,1,valle del cauca,76,zarzal,76895,826.0484690175591
2013,2,antioquia,05,angostura,05038,844.9278322949812
2013,2,antioquia,05,barbosa,05079,905.1038326527688
2013,2,antioquia,05,bello,05088,923.7231704182248
2013,2,antioquia,05,belmira,05086,898.1931303361475
2013,2,antioquia,05,caceres,05120,851.1024778761061
2013,2,antioquia,05,caucasia,05154,833.8174926855218
2013,2,antioquia,05,don matias,05237,854.9671687010225
2013,2,antioquia,05,el carmen de viboral,05148,865.8574317230294
2013,2,antioquia,05,el santuario,05697,726.5060648098745
2013,2,antioquia,05,entrerrios,05264,892.7936172393471
2013,2,antioquia,05,envigado,05266,829.7330986179257
2013,2,antioquia,05,guarne,05318,891.949118751193
2013,2,antioquia,05,la ceja,05376,908.6502428544741
2013,2,antioquia,05,la union,05400,883.5225365247125
2013,2,antioquia,05,marinilla,05440,917.2529897080996
2013,2,antioquia,05,medellin,05001,820.8008302876211
2013,2,antioquia,05,rionegro,05615,860.6870397547956
2013,2,antioquia,05,san jose de la montana,05658,868.611475290433
2013,2,antioquia,05,san pedro,05664,889.4503149384225
2013,2,antioquia,05,santa rosa de osos,05686,866.4033087882044
2013,2,antioquia,05,sonson,05756,876.5393315787086
2013,2,antioquia,05,valdivia,05854,818.9569262117112
2013,2,antioquia,05,yarumal,05887,865.8888549079575
2013,2,atlantico,08,candelaria,08141,821.7933303803076
2013,2,atlantico,08,juan de acosta,08372,768.8447342519685
2013,2,atlantico,08,manati,08436,831.7030260380014
2013,2,atlantico,08,ponedera,08560,780.7751540041068
2013,2,atlantico,08,sabanalarga,08638,880.2974007656659
2013,2,bolivar,13,arjona,13052,936.5967983243567
2013,2,bolivar,13,calamar,13140,791.1925898062817
2013,2,bolivar,13,el carmen de bolivar,13244,913.5583185316756
2013,2,bolivar,13,el guamo,13248,931.7972234751667
2013,2,bolivar,13,magangue,13430,873.4157100194526
2013,2,bolivar,13,mahates,13433,1025.4259845096542
2013,2,bolivar,13,maria la baja,13442,996.8278288503008
2013,2,bolivar,13,san estanislao,13647,952.9827098203298
2013,2,bolivar,13,san juan nepomuceno,13657,998.0732041495401
2013,2,boyaca,15,belen,15087,820.6359280430397
2013,2,boyaca,15,chiquinquira,15176,875.0113691430275
2013,2,boyaca,15,duitama,15238,908.6808290240634
2013,2,boyaca,15,firavitoba,15272,806.251915415262
2013,2,boyaca,15,paipa,15516,815.9932764188084
2013,2,boyaca,15,raquira,15600,830.3146565888925
2013,2,boyaca,15,saboya,15632,915.5062994024132
